Violation,Cost,Time,Date
overspeed,600.00,9:33:00 AM,3/10/2015
Parking,300.00,12:33:00 PM,4/7/2015
Salik,50.00,1:33:00 PM,6/17/2015
Salik,50.00,2:33:00 PM,10/14/2015
Parking,300.00,12:33:00 PM,8/20/2015
overspeed,600.00,10:33:00 PM,9/23/2015
overspeed,600.00,6:33:00 PM,3/10/2016
Parking,300.00,4:33:00 PM,6/21/2016
Salik,50.00,3:33:00 PM,8/17/2016
Parking,300.00,12:33:00 PM,11/23/2016
overspeed,600.00,10:33:00 PM,12/28/2016
overspeed,600.00,9:33:00 AM,3/1/2017
Parking,300.00,9:33:00 PM,4/19/2017
Salik,50.00,8:33:00 PM,5/3/2017
Salik,50.00,1:33:00 PM,6/16/2017
Salik,50.00,2:33:00 PM,7/14/2017
Parking,300.00,8:33:00 AM,9/20/2017
Salik,50.00,4:33:00 PM,10/11/2017
overspeed,600.00,10:33:00 PM,11/1/2017
overspeed,600.00,9:33:00 AM,11/20/2017
Salik,50.00,11:33:00 PM,4/18/2018
Parking,300.00,12:33:00 PM,6/7/2018
overspeed,600.00,10:33:00 PM,10/21/2018
overspeed,600.00,9:33:00 AM,11/20/2018
overspeed,600.00,9:33:00 PM,2/3/2019
Salik,50.00,5:33:00 PM,5/22/2019
Parking,300.00,12:33:00 PM,8/2/2019
overspeed,600.00,10:33:00 PM,10/11/2019
overspeed,600.00,10:33:00 AM,8/4/2020